course code,course title,ATTRIBUTES,EXCLUSION,DESCRIPTION,PRE-REQUISITE,CO-REQUISITE,VECTOR,PREVIOUS CODE,INTENDEDLEARNINGOUTCOMES,CO-LIST WITH,ALTERNATE CODE(S)
MATH 7990,MATH 7990 - Doctoral Thesis Research (0 units),,,Original and independent doctoral thesis research.  A successful defense of the thesis leads to the grade Pass.  No course credit is assigned.,,,,MATH 799,"On successful completion of the course, students will be able to:1.Demonstrate abilities to conduct independent and original research in mathematics.2.Demonstrate mastery of knowledge in the chosen discipline of mathematics.3.Synthesize and create new knowledge and to make original and substantial contributions to the discipline of mathematics.4.Demonstrate a broad knowledge in mathematics and mathematical sciences.5.Demonstrate effective communication skills in presenting and publishing findings in mathematics.",,
MECH 1990,MECH 1990 - Industrial Training (0 units),,,"A practical training course in an industrial simulated environment. For students of the Mechanical and Aerospace Engineering Department only. Graded P, PP or F.",,,,,,,
MECH 2040,MECH 2040 - Solid Mechanics I (3 units),,CIVL 2120,"Forces, moments, equilibrium; principles of virtual work; analysis of structural members under axial load, torsion and bending; shear force and bending moment diagrams; statically indeterminate trusses; buckling and structural stability.",MECH 2020,,,,,,
MECH 2210,MECH 2210 - Fluid Mechanics (3 units),,"CENG 2220, CIVL 2510, MATH 4326","Fundamental concepts; hydrostatics; integral and differential equations of fluid flows; conservation of mass, momentum and energy; dimensional analysis; pipe flow; channel flow and boundary layers.",(MATH 2011 OR MATH 2023) AND MECH 2310,,,,,,
MECH 2410,MECH 2410 - Engineering Materials I (3 units),,PHYS 3040,Atomic bonding of materials; crystal structure and defects; mechanical properties of materials; phase diagrams and phase transformations; heat treatment of metals; processing and applications of metallic materials.,,,,,,,
MECH 2520,MECH 2520 - Design and Manufacturing I (3 units),,,"Introduction to the engineering design process and engineering graphics; design specification, concept generation, and concept evaluation; geometric construction, sketching, orthographic projection, auxillary views, sectioning, dimensioning, tolerancing, and working drawing. For students under the four-year degree only.",,,,,,,
MECH 3510,MECH 3510 - CAD/CAM (3 units),,,"Geometric modeling systems, data structures, NC technology, NC machining, project.",,,,,,,
MECH 3620,MECH 3620 - Aircraft Design (3 units),,,"Students will work in teams to develop a conceptual design for a complete flight vehicle, using knowledge and skills acquired in the Aerospace Engineering Major curriculum. Specific considerations will include market conditions, mission requirements, aircraft size and layout, airfoil/wing geometry, aerodynamics, engine selection, airframe-engine integration, fuselage design, electrical and hydraulic systems, landing gear arrangement, flight stability and control, structures and materials, avionics and navigation systems, human factors, safety, manufacturing processes, and cost analysis. The teams will present their proposed designs via oral presentations and written reports.",MECH 1907 AND MECH 3640 AND MECH 3650,MECH 3660 AND MECH 3670,,,,,
MECH 3630,MECH 3630 - Electrical Technology (3 units),,,"Electromagnetic circuits, transformers, electromechanical energy conversion, DC machines, asynchronous and synchronous machines, special machines, transients and dynamics, three-phase circuits and power electronics, applications in electrical building services.",,,,,,,
MECH 3660,MECH 3660 - Gas Turbines and Jet Propulsion (3 units),,,"Rotating machinery, turbojet, compressor blades, turbine blades, combustion, high temperature material, high byâpass fan jet, rocket. For science and engineering students in their second year of study or above.",(MATH 2111 OR MATH 2350 OR MATH 2351) AND MECH 3640,,,,,,
MECH 3680,MECH 3680 - Avionics Systems (3 units),,,"This course covers avionic systems and communications, including analog and digital systems, aviation bands and frequencies, satellite and aircraft communications, selective calling, emergency locator transmitter, omni-directional range, instrument and microwave landing systems, and automatic direction finder. Other relevant topics may also be discussed in the course.",ELEC 2420 AND (COMP 1021 OR COMP 1022P OR COMP 1022Q (prior to 2020-21) OR COMP 2011),,,,,,
MECH 3690,MECH 3690 - Aerospace Engineering Laboratory (3 units),,,"Fundamentals of instrumentation and measurement and their application in engineering testing and experimentation. Focuses primarily on application of the fundamental principles learned in MECH 3640, MECH 3650, MECH 3660, MECH 3670 and MECH 3680 to more advanced test and measurement applications. Includes principles of analog and digital data acquisition, analysis of discrete measurement data, statistical assessment of hypotheses, design of experiments, and similarity scaling of data. For AE students only.",,LANG 4034 AND (MECH 3640 OR MECH 3650 OR MECH 3660 OR MECH 3670 OR MECH 3680),,,,,
MECH 3830,MECH 3830 - Laboratory (3 units),[BLD] Blended learning,,"Introductory laboratory course to provide training in experimental techniques and laboratory procedures, data acquisition, analysis and presentation.",,LANG 4034,,,,,
MECH 3907,MECH 3907 - Mechatronic Design and Prototyping (3 units),[EXP] Experiential learning,,"This course's aim is to broaden the professional and engineering interests of students by enhancing their practicum/team-based experience through initiatives different from those of traditional lectures and tutorials. This is a project-based course to develop the students' knowledge/experience in designing and building a practical mechatronics system (formerly called Industrial Training). Students will work in teams to identify the needs for their designed prototype. Also, students will be given the opportunity to design and build various mechatronics components including electronic circuits, motors, sensors, etc. from CAD drawings, and practise their engineering knowledge through all laboratory sessions. The main goal is to develop and nurture skills in problem-solving, communication, interpersonal interaction, project and time management, etc. via the entire project.",MECH 2520,,,MECH 2907,,,
MECH 4340,MECH 4340 - Air Conditioning Systems (3 units),,,"Introduction of heating, ventilating and air conditioning (HVAC) systems, moist air properties, heat transmission in building structures, solar radiation, air conditioning cooling load and heating load calculation, air distribution system design, indoor air quality, economic analysis, alternative cooling systems.",MECH 3310,,,,,,
MECH 4350,MECH 4350 - Indoor Air Quality in Buildings (3 units),,"IBTM 5430, JEVE 5350",Indoor air pollutants in buildings and their transport dynamics with respect to building ventilation systems.  Design methodology in handling indoor air quality in buildings and enclosed spaces.  Building environmental assessment method.,MECH 2310,,,,,,
MECH 4430,MECH 4430 - Materials Characterization (3 units),,,"Study of microstructure, morphology, and chemical compositions of engineering materials using optical, X-ray and electron methods; specimen preparation, instrumentation and case studies.",MECH 2410,,,,,,
MECH 4710,MECH 4710 - Introduction to Robotics (3 units),,,"Rigid body motion, forward and inverse kinematics, manipulator Jacobians, force relation, dynamics and position control robot manipulators, force control and trajectory generation, collision avoidance and motion planning, robot programming languages.",MECH 2020,,,,,,
MECH 4830,MECH 4830 - Introduction to Aerospace Computational Fluid Dynamics (CFD) (3 units),,,"This course introduces students to computational fluid dynamics (CFD) relevant to aerospace engineering. Students should be familiar with multivariate calculus and linear algebra, preferably with some experience with MATLAB or PYTHON. Topics include the governing equations of fluid flows, the use of applied mathematics to solve partial differential equations, and their implementation into a computational framework. Students will learn how to perform CFD simulations and post-process data to extract meaningful physics and insight for flows relevant to aerospace engineering. The course offers hands-on CFD laboratories focusing on laminar and turbulent, as well as steady and unsteady, flows over airfoils/wings. For minor (AE); or MECH and AE students in their third year of study or above.",MECH 3640,,,,,,
MECH 4890,MECH 4890 - Introduction to Nanosatellite Engineering (3 units),[EXP] Experiential learning,,"This course will introduce the fundamental concepts of CubeSat. In this experiential course, a number of labs have been prepared with a different focus on orbits dynamics, analysis of control and thermal subsystems. Every student should finish fundamental labs individually, and organize in groups to work on an advanced design topic. The course shall offer students with both hands-on experience software simulation and hardware implementation. The topics in this course are introduced with mathematical derivations and case studies. After taking this course, students are expected to acquire an understanding of  the fundamentals of satellite engineering and more importantly a common sense in technical and managerial aspects of engineering design projects with focus on aerospace applications.",MATH 2011 AND (MATH 2111 OR MATH 2350 OR MATH 2351) AND (PHYS 1111 OR PHYS 1112 OR PHYS 1312),,,MECH 4000I,,,
